企业名称,股票代码,旧名称,登记状态,注册资本,参保人数,参保人数所属年报,通信地址,统一社会信用代码,企业规模,成立日期,所属省份,所属城市,所属区县,邮箱,更多邮箱,注册号,纳税人资质,企业（机构）类型,国标行业门类,国标行业大类,国标行业中类,国标行业小类,企查查行业门类,企查查行业大类,企查查行业中类,企查查行业小类,企业地址,曾用名,英文名,经营范围
雅戈尔时尚股份有限公司,SH600177,雅戈尔集团股份有限公司,存续,462880.2973万元人民币,211,2022年报,-,91330200704800698F,L(大型),1993-06-25,浙江省,宁波市,海曙区,ir@youngor.com,ir@youngor.com.cn,330200000007255,增值税一般纳税人,其他股份有限公司（上市）,制造业,纺织服装、服饰业,机织服装制造,其他机织服装制造,消费,纺织服饰与珠宝,服装家纺,服装,浙江省宁波市海曙区鄞县大道西段2号,雅戈尔集团股份有限公司,"Yagor Fashion Co., Ltd.",服装制造；技术咨询；房地产开发；项目投资；仓储；针纺织品、金属材料、化工产品、建筑材料、机电、家电、电子器材的批发、零售；自营和代理货物和技术的进出口，但国家限定经营或禁止进出口的货物或技术除外。
珠海华发实业股份有限公司,SH600325,珠海华发实业股份有限公司,存续,275215.2116万元人民币,70,2022年报,-,9144040019256618XC,L(大型),1992-08-18,广东省,珠海市,香洲区,luo.shengliang@cnhuafas.com,liu.sheng@cnhuafas.com;li.shanghao@cnhuafas.com,440400000065217,增值税一般纳税人,股份有限公司（上市、国有控股）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,珠海市昌盛路155号,珠海华发股份有限公司,"Zhuhai Huafa Properties Co., Ltd.",许可项目：房地产开发经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：销售代理；建筑材料销售；建筑装饰材料销售；金属材料销售；五金产品批发；五金产品零售；化工产品销售（不含许可类化工产品）；非居住房地产租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
大悦城控股集团股份有限公司,SZ000031,大悦城控股集团股份有限公司,存续,428631.3339万元人民币,-,-,深圳市宝安区新安街道留仙一路8号中粮创芯研发中心1栋27楼,914403001922471899,L(大型),1993-10-08,广东省,深圳市,宝安区,mediapr@cofco.com,cofco-property@cofco.com,440301103197805,一般纳税人,股份有限公司（中外合资、上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,商业地产,-,深圳市宝安区新安街道3区龙井二路3号中粮地产集团中心第1层101室,"中粮地产（集团）股份有限公司,
深圳市宝恒（集团）股份有限公司,
深圳宝恒（集团）股份有限公司,
深圳市宝安区城建发展总公司","Grandjoy HOLDINGS Group Co., Ltd.",一般经营项目是：房地产开发经营；国内商业、物资供销业（不含专营、专卖、专控商品）；建筑技术咨询，进出口按“深贸管审证字第294号审证字第294号审定证书”办。住房租赁。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
云南城投置业股份有限公司,SH600239,云南城投置业股份有限公司,存续,160568.6909万元人民币,101,2022年报,-,915300002179235351,L(大型),1997-04-21,云南省,昆明市,西山区,ynctzy@163.com,-,530000000004673,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,云南省昆明市西山区西园南路34号融城优郡A4栋,"云南红河光明股份有限公司,
云南光明（啤酒）股份有限公司","YunNan Metropolitan Real Estate Development Co., Ltd.",房地产开发与经营；商品房销售；房屋租赁；基础设施建设投资；土地开发；项目投资与管理。
华联控股股份有限公司,SZ000036,华联控股股份有限公司,存续,148393.4025万元人民币,0,2022年报,-,91440300192471500W,M(中型),1989-09-11,广东省,深圳市,福田区,liy@udcgroup.com,feixy@udcgroup.com;394141058@qq.com;hlkg000036@udcgroup.com,440301102894519,一般纳税人,股份有限公司（上市）,制造业,纺织服装、服饰业,机织服装制造,其他机织服装制造,房地产,房地产开发,住宅开发,-,深圳市福田区深南中路2008号华联大厦1103-1109房,"深圳市华联控股股份有限公司,
深圳市惠中股份有限公司,
深圳市惠中化纤实业股份有限公司,
深圳惠中化纤实业股份有限公司,
深圳惠中化学纤维有限公司",China Union Holdings Ltd.,一般经营项目是：投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；在具有合法土地使用权的地块上从事房地产开发、经营；自有物业管理；房地产经纪（不含限制项目）。
南都物业服务集团股份有限公司,SH603506,南都物业服务集团股份有限公司,存续,18777.7779万元人民币,407,2022年报,-,91330000142924946H,L(大型),1994-04-13,浙江省,杭州市,西湖区,contact@nacity.cn,office@nacity.cn;liuqiao@nacity.cn;narada_ad@126.com,330000000025273,简易办法征收一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,物业管理,物业管理,房地产,房地产服务,物业管理,-,浙江省杭州市西湖区紫荆花路2号联合大厦A幢1单元10楼,"南都物业服务股份有限公司,
浙江南都物业服务股份有限公司,
浙江南都物业管理有限公司,
浙江南都物业管理公司","Nacity Property Service Group Co., Ltd.",许可项目：高危险性体育运动（游泳）；城市生活垃圾经营性服务；建设工程施工；建设工程设计；住宅室内装饰装修；特种设备安装改造修理；第二类增值电信业务；城市建筑垃圾处置（清运）；餐饮服务；供暖服务（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：物业管理；酒店管理；城乡市容管理；市政设施管理；城市绿化管理；餐饮管理；商业综合体管理服务；园区管理服务；体育场地设施经营（不含高危险性体育运动）；专业保洁、清洗、消毒服务；停车场服务；家政服务；航空运营支持服务；航空商务服务；房地产咨询；住房租赁；信息咨询服务（不含许可类信息咨询服务）；会议及展览服务；礼仪服务；包装服务；建筑物清洁服务；园林绿化工程施工；住宅水电安装维护服务；家具安装和维修服务；家用电器安装服务；日用电器修理；水利相关咨询服务；信息系统集成服务；信息系统运行维护服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；安防设备销售；文具用品零售；家具销售；农副产品销售；服装服饰零售；厨具卫具及日用杂品零售；劳动保护用品销售；专用设备修理；通用设备修理；工程管理服务；物联网应用服务；电子、机械设备维护（不含特种设备）；健身休闲活动；物业服务评估；水污染治理；居民日常生活服务；单位后勤管理服务；集贸市场管理服务；代驾服务；票务代理服务；病人陪护服务；护理机构服务（不含医疗服务）；市场营销策划；专业设计服务；食品销售（仅销售预包装食品）；互联网销售（除销售需要许可的商品）；灯具销售；汽车装饰用品销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
天津卓朗信息科技股份有限公司,SH600225,天津松江股份有限公司,存续,341139.4363万元人民币,-,-,-,91120000734546571Y,L(大型),2001-12-21,天津市,天津市,红桥区,zhuolangkeji@troila.com,743675012@qq.com;1191042157@qq.com;songjiangzhidi@163.com;songjianggufen@163.com;bo37@163.com,120000000002179,增值税一般纳税人,股份有限公司（上市）,信息传输、软件和信息技术服务业,软件和信息技术服务业,-,-,房地产,房地产开发,住宅开发,-,天津市红桥区湘潭道1号,"天津松江股份有限公司,
华通天香集团股份有限公司","Tianjin Zhuolang Information Technology Co., Ltd.",一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；云计算装备技术服务；信息系统集成服务；软件销售；网络与信息安全软件开发；信息安全设备销售；非居住房地产租赁。（依法须经批准项目，经相关部门批准后方可开展经营活动）
江苏中南建设集团股份有限公司,SZ000961,江苏中南建设集团股份有限公司,在业,370978.8797万元人民币,6,2022年报,江苏省南通市海门区上海路899号,91320600MA1M9AEW6B,L(大型),1998-07-28,江苏省,南通市,海门区,zhongnangroup11@sina.com,liangxiaojing@zhongnangroup.cn;876905010@qq.com;121756660@qq.com;603718868@qq.com,320600000241314,增值税一般纳税人,股份有限公司（上市）,建筑业,房屋建筑业,-,-,房地产,房地产开发,住宅开发,-,江苏省海门市常乐镇,大连金牛股份有限公司,"Jiangsu Zhongnan Construction Group Co., Ltd.",房地产开发、销售（凭资质证书承接业务）；土木建筑工程施工，物业管理，实业投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
金融街控股股份有限公司,SZ000402,金融街控股股份有限公司,存续,298892.9907万元人民币,148,2022年报,-,9111000020283066XF,L(大型),1996-06-18,北京市,北京市,西城区,service@jrjkg.com,cywang@jrjkg.com,110000002625954,增值税一般纳税人,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,商业地产,-,北京市西城区金城坊街7号,重庆华亚现代纸业股份有限公司,"Financial Street Holdings Co., Ltd.",以下项目仅限分公司经营：住宿、游泳池、网球场、中西餐、冷、热饮、糕点、美容美发、洗浴、零售卷烟、图书期刊；房地产开发，销售商品房；物业管理；新技术及产品项目投资；技术开发；技术服务；技术咨询；停车服务；出租办公用房、商业用房；健身服务；劳务服务；打字；复印；会议服务；技术培训；承办展览展示；饭店管理；餐饮管理；企业形象策划；组织文化交流活动；销售百货、工艺美术品、建筑材料、机械电气设备安装；货物进出口、技术进出口、代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京空港科技园区股份有限公司,SH600463,北京空港科技园区股份有限公司,存续,30000万元人民币,81,2022年报,北京市天竺空港经济开发区B区裕民大街甲6号,9111000072260157XJ,L(大型),2000-03-28,北京市,北京市,顺义区,kg600463@163.com,beijing100621@126.com,110000001255214,一般纳税人,其他股份有限公司（上市）,科学研究和技术服务业,科技推广和应用服务业,其他科技推广服务业,其他科技推广服务业,房地产,房地产开发,产业地产,-,北京市顺义区天竺空港工业区A区,-,"Beijing Airport High-Tech Park Co., Ltd.",高新技术的开发、转让和咨询；销售开发后的产品；土地开发，仓储，物业管理，经济信息咨询。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
泰禾集团股份有限公司,SZ000732,泰禾集团股份有限公司,存续,248890.144万元人民币,0,2022年报,福州市晋安区横屿路9号泰禾中心26层,91350000155584573M,L(大型),1992-12-29,福建省,三明市,三元区,zhangfuxian@tahoecn.com,-,350000100016163,增值税一般纳税人,股份有限公司（上市、自然人投资或控股）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,三明市梅列区徐碧,"福建三农集团股份有限公司,
福建省三农化学股份有限公司","Tahoe Group Co., Ltd.",房地产开发经营；本公司商标特许经营；酒店管理；物业管理；园林绿化工程的设计、施工；商业物资供销（专营、专控、专卖及专项审批的商品除外）；对外贸易；技术开发及技术转让；对第一产业、第二产业及第三产业的投资及投资管理；营养健康咨询服务；金融信息服务；企业管理咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
上海大名城企业股份有限公司,SH600094,上海大名城企业股份有限公司,存续,247532.5057万元人民币,16,2022年报,上海市长宁区红宝石路500号东银中心B栋29楼,913100006073563962,L(大型),1996-07-18,上海市,上海市,闵行区,dmc@greattown.cn,-,310000400150891,增值税一般纳税人,股份有限公司（中外合资、上市）,房地产业,房地产业,房地产开发经营,房地产开发经营,房地产,房地产开发,住宅开发,-,上海市闵行区红松东路1116号1幢5楼A区,"上海名城实业股份有限公司,
上海华源股份有限公司",Greattown Holdings Ltd.,房地产综合开发，建造、销售商品房；物业管理，物业租赁；公共基础设施开发与建设；建筑装饰安装工程；从事新能源科技领域的技术开发、技术咨询、技术服务、技术转让，新能源汽车的销售；生产、加工、销售生物制品、农药及中间体（限分支机构经营）、药品原料及制剂（限分支机构经营）、保健品（限分支机构经营）、新型建材、包装材料、现代通讯信息新材料及相关器件；上述产品的研究开发、技术咨询和售后服务；经营进出口业务。（涉及配额、许可证或国家专项管理的，应凭证经营或按国家有关规定另行报批）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
东莞宏远工业区股份有限公司,SZ000573,东莞宏远工业区股份有限公司,在业,63828.0604万元人民币,23,2022年报,-,91441900281825294G,M(中型),1992-05-08,广东省,东莞市,-,office@winnerway.com,0573@21cn.com,441900000597623,增值税一般纳税人,其他股份有限公司（上市）,房地产业,房地产业,-,-,房地产,房地产开发,住宅开发,-,东莞市南城区宏远工业区,-,DongGuan Winnerway Industry Zone Ltd.,开发经营工业区，房地产开发，开办外引内联企业及其咨询、洽谈业务；生产经营高科技产品、五金、交电、建筑装饰材料，技术咨询；原煤开采（另设分支机构经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
大连友谊（集团）股份有限公司,SZ000679,大连友谊(集团)股份有限公司,存续,35640万元人民币,163,2022年报,辽宁省大连市沙河口区星海广场B3区35-4号公建,9121020011831278X6,M(中型),1992-07-28,辽宁省,大连市,中山区,sup911@163.com,-,210200000006827,一般纳税人,其他股份有限公司（上市）,批发和零售业,零售业,-,-,消费,零售,一般零售,多业态零售,辽宁省大连市中山区七一街5号,-,"Dalian Friendship (Group) Co., Ltd.",房地产开发；（以下限分支机构经营）商品零售、酒店、对船供应、进出口贸易、免税商品；农副产品收购；客房写字间出租、会议服务、企业管理服务、广告业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
派斯林数字科技股份有限公司,SH600215,长春经开(集团)股份有限公司,存续,46503.288万元人民币,12,2022年报,-,91220101124067880U,L(大型),1993-06-26,吉林省,长春市,长春经济技术开发区,600215@paslin.cn,ccjk_600215@163.com;ccjk600215@163.com;songzhu.li@wfjyjt.com,220101124067880,-,其他股份有限公司（上市）,租赁和商务服务业,商务服务业,组织管理服务,投资与资产管理,房地产,房地产开发,住宅开发,-,长春市经济开发区南沙大街2888号,"长春经开（集团）股份有限公司,
长春经济技术开发区开发建设（集团）股份有限公司","Paslin Digital Technology Co., Ltd.",一般项目：工业自动控制系统装置制造；工业自动控制系统装置销售；机械电气设备制造；机械电气设备销售；智能控制系统集成；信息系统集成服务；物联网技术服务；工业互联网数据服务；人工智能行业应用系统集成服务；数据处理和存储支持服务；信息技术咨询服务；信息咨询服务（不含许可类信息咨询服务）；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；以自有资金从事投资活动。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
